location::Online
level::League
date::2024_08_01
organizer::AlexSmirnov
players::generals
Акишев, Константин :: Ajani, Nacatl Pariah
     4 Серпутько, Слава             Сухов, Никита                Lost 0-2
     5 Долганов, Матвей             Поляков, Герман              Lost 1-2
     6 Семенов, Дмитрий             Скляренко, Сергей            Won  2-0
     7 Сильчев, Никита              Кузьменко, Иван              Lost 1-2
     8 Сафаргалиев, Евгений         Череповский, Роман           Won  2-0
     9 Муравьев, Роман              Давыдов, Александр           Won  2-1
    10 Бурмистров, Павел            Богданов, Сергей             Won  2-0
    11 Третьяков, Дмитрий           Руденко, Олег                Won  2-0
    12 Поспелов, Александр          Палачев, Константин          Lost 0-2
    13 Шубенин, Илья                Редько, Павел                Won  2-0
    14 Токарев, Александр           Булочко, Михаил              Won  2-1
    15 Циулин, Иван                 Антипин, Константин          Lost 1-2
    16 Байков, Аркадий              Богатырев, Александр         Lost 1-2
    17 Сомкин, Константин           Акишев, Константин           Won  2-0
    18 Стрельцов, Артем             Воронцов, Иван               Lost 0-2
    19 Марченко, Олег               Плотников, Александр         Won  2-1
    20 Мещеряков, Максим            Козлов, Максим               Lost 0-2
Round5
     1 Ломасов, Дмитрий             Орешкин, Дмитрий             Lost 0-2
     2 Сайфутдинов, Тимур           Семенов, Дмитрий             Won  2-1
     3 Кузьменко, Иван              Александров, Дмитрий         Lost 1-2
     4 Сафаргалиев, Евгений         Бурмистров, Павел            Won  2-0
     5 Ламзин, Сережа               Костин, Андрей               Won  2-0
     6 Муравьев, Роман              Сухов, Никита                Lost 0-2
     7 Поляков, Герман              Токарев, Александр           Lost 0-2
     8 Сильчев, Никита              Давыдов, Александр           Won  2-0
     9 Антипин, Константин          Третьяков, Дмитрий           Won  2-0
    10 Сомкин, Константин           Козлов, Максим               Lost 0-2
    11 Долганов, Матвей             Серпутько, Слава             Won  2-1
    12 Богатырев, Александр         Шубенин, Илья                Won  2-1
    13 Палачев, Константин          Череповский, Роман           Won  2-0
    14 Богданов, Сергей             Скляренко, Сергей            Won  2-1
    15 Булочко, Михаил              Воронцов, Иван               Lost 1-2
    16 Марченко, Олег               Мозоля, Алексей              Lost 1-2
    17 Редько, Павел                Байкалов, Антон              Lost 0-2
    18 Поспелов, Александр          Байков, Аркадий              Lost 1-2
    19 Циулин, Иван                 Плотников, Александр         Lost 0-2
    20 Мещеряков, Максим            Стрельцов, Артем             Won  2-1
Round6
     1 Орешкин, Дмитрий             Сайфутдинов, Тимур           Won  2-0
     2 Ламзин, Сережа               Сафаргалиев, Евгений         Won  2-0
     3 Ломасов, Дмитрий             Сухов, Никита                Lost 1-2
     4 Александров, Дмитрий         Поляков, Герман              Won  2-0
     5 Кузьменко, Иван              Костин, Андрей               Lost 0-2
     6 Семенов, Дмитрий             Бурмистров, Павел            Won  2-1
     7 Муравьев, Роман              Токарев, Александр           Lost 0-2
     8 Долганов, Матвей             Богатырев, Александр         Won  2-0
     9 Антипин, Константин          Сильчев, Никита              Won  2-1
    10 Палачев, Константин          Богданов, Сергей             Won  2-0
    11 Козлов, Максим               Серпутько, Слава             Won  2-0
    12 Сомкин, Константин           Шубенин, Илья                Lost 0-2
    13 Череповский, Роман           Скляренко, Сергей            Won  2-0
    14 Байков, Аркадий              Воронцов, Иван               Won  2-0
    15 Байкалов, Антон              Третьяков, Дмитрий
    16 Мозоля, Алексей              Поспелов, Александр          Lost 1-2
    17 Стрельцов, Артем             Булочко, Михаил              Won  2-1
    18 Плотников, Александр         Мещеряков, Максим            Lost 0-2
    19 Циулин, Иван                 Марченко, Олег               Lost 1-2
       Редько, Павел                * BYE *
Round7
     1 Орешкин, Дмитрий             Костин, Андрей               Lost 1-2
     2 Александров, Дмитрий         Сухов, Никита                Lost 1-2
     3 Сайфутдинов, Тимур           Ломасов, Дмитрий             Lost 0-2
     4 Сафаргалиев, Евгений         Ламзин, Сережа               Lost 0-2
Round8
     1 Ламзин, Сережа               Ломасов, Дмитрий             Lost 1-2
     2 Костин, Андрей               Сухов, Никита                Won  2-0
Round9
     1 Костин, Андрей               Ломасов, Дмитрий             Lost 0-2
